id,anomalous_image_index
0,8
1,9
2,12
3,7
4,0
5,2
6,2
7,13
8,14
9,5
10,11
11,4
12,2
13,2
14,11
15,4
16,13
17,13
18,8
19,0
20,4
21,12
22,11
23,11
24,5
25,3
26,10
27,8
28,2
29,1
30,9
31,0
32,14
33,3
34,15
35,2
36,13
37,10
38,15
39,15
40,4
41,15
42,13
43,9
44,11
45,7
46,10
47,9
48,2
49,3
50,15
51,8
52,10
53,7
54,6
55,12
56,8
57,13
58,9
59,2
60,4
61,9
62,8
63,10
64,11
65,14
66,9
67,7
68,12
69,6
70,10
71,14
72,1
73,11
74,6
75,12
76,13
77,13
78,11
79,15
80,11
81,15
82,10
83,9
84,6
85,6
86,12
87,0
88,6
89,0
90,3
91,2
92,3
93,3
94,7
95,13
96,0
97,5
98,15
99,9
100,12
101,13
102,5
103,15
104,8
105,15
106,10
107,10
108,7
109,9
110,6
111,14
112,1
113,6
114,12
115,0
116,5
117,8
118,11
119,13
120,7
121,12
122,13
123,6
124,8
125,3
126,5
127,4
128,12
129,6
130,8
131,13
132,8
133,0
134,8
135,5
136,8
137,1
138,4
139,5
140,15
141,4
142,3
143,3
144,9
145,9
146,2
147,0
148,1
149,1
150,14
151,4
152,1
153,15
154,11
155,1
156,13
157,12
158,4
159,10
160,4
161,3
162,13
163,4
164,11
165,10
166,2
167,8
168,8
169,2
170,10
171,5
172,4
173,13
174,8
175,7
176,4
177,10
178,9
179,8
180,9
181,12
182,2
183,8
184,4
185,9
186,0
187,14
188,6
189,13
190,9
191,8
192,14
193,8
194,10
195,12
196,11
197,9
198,2
199,8
200,8
201,10
202,5
203,13
204,0
205,5
206,2
207,8
208,12
209,9
210,11
211,4
212,2
213,6
214,6
215,15
216,3
217,3
218,9
219,11
220,0
221,5
222,0
223,9
224,7
225,11
226,14
227,8
228,12
229,10
230,12
231,2
232,14
233,3
234,2
235,2
236,11
237,14
238,12
239,1
240,5
241,13
242,0
243,7
244,0
245,12
246,15
247,6
248,5
249,9
250,10
251,9
252,4
253,11
254,11
255,1
256,1
257,13
258,1
259,4
260,13
261,9
262,2
263,8
264,15
265,4
266,3
267,3
268,12
269,12
270,5
271,9
272,7
273,11
274,11
275,3
276,8
277,11
278,0
279,9
280,7
281,2
282,0
283,3
284,0
285,4
286,2
287,11
288,11
289,11
290,11
291,10
292,13
293,3
294,3
295,2
296,6
297,12
298,11
299,13
300,3
301,3
302,11
303,11
304,0
305,6
306,8
307,2
308,8
309,10
310,12
311,9
312,0
313,1
314,11
315,8
316,3
317,10
318,13
319,5
320,3
321,13
322,14
323,10
324,15
325,13
326,15
327,7
328,1
329,8
330,11
331,15
332,11
333,13
334,0
335,5
336,0
337,10
338,5
339,2
340,8
341,8
342,4
343,3
344,10
345,0
346,0
347,4
348,7
349,7
350,10
351,10
352,9
353,2
354,8
355,9
356,2
357,15
358,3
359,3
360,10
361,10
362,2
363,0
364,2
365,9
366,12
367,9
368,5
369,0
370,0
371,9
372,6
373,2
374,11
375,7
376,4
377,13
378,11
379,9
380,7
381,12
382,4
383,4
384,10
385,0
386,3
387,7
388,4
389,15
390,6
391,9
392,8
393,2
394,11
395,8
396,8
397,7
398,8
399,8
400,14
401,3
402,0
403,9
404,14
405,15
406,10
407,9
408,15
409,3
410,5
411,8
412,5
413,10
414,13
415,10
416,10
417,1
418,11
419,1
420,5
421,0
422,5
423,5
424,3
425,11
426,8
427,0
428,13
429,14
430,13
431,9
432,8
433,15
434,2
435,0
436,9
437,7
438,8
439,15
440,6
441,15
442,12
443,13
444,6
445,6
446,14
447,6
448,12
449,15
450,6
451,14
452,11
453,0
454,6
455,8
456,2
457,4
458,11
459,10
460,6
461,4
462,5
463,11
464,1
465,6
466,0
467,9
468,11
469,12
470,0
471,3
472,0
473,12
474,10
475,5
476,7
477,12
478,11
479,8
480,14
481,9
482,9
483,6
484,15
485,4
486,14
487,3
488,13
489,1
490,12
491,8
492,14
493,9
494,5
495,2
496,10
497,15
498,10
499,15
500,10
501,11
502,15
503,4
504,1
505,12
506,0
507,2
508,14
509,2
510,3
511,10
512,5
513,3
514,9
515,2
516,2
517,13
518,11
519,9
520,4
521,11
522,3
523,0
524,5
525,12
526,7
527,2
528,15
529,12
530,4
531,6
532,9
533,0
534,7
535,9
536,10
537,3
538,8
539,4
540,8
541,12
542,4
543,2
544,3
545,13
546,9
547,11
548,8
549,15
550,0
551,8
552,9
553,3
554,9
555,9
556,11
557,11
558,14
559,3
560,10
561,13
562,11
563,0
564,4
565,2
566,15
567,12
568,9
569,7
570,6
571,5
572,14
573,0
574,14
575,10
576,4
577,5
578,2
579,11
580,10
581,7
582,5
