id,anomalous_image_index
0,6
1,3
2,12
3,7
4,0
5,2
6,2
7,13
8,14
9,5
10,11
11,4
12,2
13,2
14,3
15,4
16,13
17,13
18,7
19,0
20,4
21,12
22,11
23,11
24,5
25,3
26,10
27,8
28,2
29,1
30,9
31,0
32,14
33,3
34,15
35,12
36,13
37,10
38,15
39,15
40,4
41,7
42,13
43,9
44,11
45,3
46,11
47,9
48,2
49,3
50,15
51,8
52,10
53,7
54,6
55,7
56,8
57,13
58,9
59,2
60,8
61,6
62,8
63,10
64,11
65,14
66,9
67,7
68,12
69,6
70,10
71,14
72,1
73,11
74,6
75,12
76,13
77,13
78,5
79,15
80,11
81,15
82,10
83,9
84,6
85,6
86,12
87,15
88,6
89,0
90,3
91,2
92,3
93,3
94,2
95,13
96,0
97,5
98,15
99,9
100,12
101,13
102,5
103,15
104,8
105,15
106,5
107,10
108,7
109,9
110,6
111,14
112,1
113,6
114,12
115,9
116,5
117,9
118,11
119,13
120,9
121,12
122,13
123,6
124,8
125,3
126,4
127,4
128,12
129,6
130,7
131,12
132,13
133,0
134,6
135,5
136,8
137,1
138,4
139,5
140,11
141,4
142,3
143,3
144,9
145,9
146,2
147,0
148,1
149,10
150,14
151,4
152,1
153,15
154,11
155,1
156,13
157,12
158,4
159,10
160,4
161,3
162,6
163,4
164,11
165,10
166,2
167,1
168,11
169,2
170,10
171,5
172,15
173,13
174,8
175,7
176,11
177,4
178,9
179,8
180,9
181,15
182,2
183,13
184,4
185,9
186,13
187,14
188,6
189,13
190,9
191,8
192,14
193,8
194,10
195,7
196,11
197,14
198,10
199,8
200,8
201,10
202,5
203,13
204,0
205,5
206,8
207,8
208,12
209,9
210,13
211,12
212,2
213,6
214,6
215,4
216,3
217,6
218,9
219,11
220,0
221,5
222,11
223,9
224,7
225,11
226,14
227,8
228,12
229,10
230,12
231,2
232,5
233,3
234,4
235,2
236,11
237,14
238,11
239,1
240,5
241,13
242,10
243,7
244,0
245,12
246,15
247,5
248,4
249,9
250,10
251,6
252,4
253,11
254,1
